key,rank
vit_01s0137g00730,715
vit_19s0014g03660,716
vit_00s0641g00010,717
vit_18s0041g00740,718
vit_01s0011g02180,719
vit_14s0036g00980,720.5
vit_06s0080g01200,720.5
vit_07s0104g01780,722
vit_16s0050g01810,723
vit_07s0031g01680,724
vit_01s0146g00260,725
vit_07s0005g00980,726
vit_01s0011g05980,727
vit_16s0050g01190,728
vit_13s0067g01780,729
vit_18s0122g00250,730
vit_10s0116g00550,731
vit_09s0054g01170,732
vit_03s0063g00360,733
vit_11s0052g00890,734
vit_01s0011g01510,735
vit_18s0086g00320,736
vit_13s0019g02900,737
vit_15s0021g01340,738
vit_16s0039g02460,739
vit_13s0073g00600,740
vit_17s0000g09120,741
vit_13s0019g04530,742
vit_08s0040g00020,743
vit_17s0000g07820,744
vit_04s0008g03020,745
vit_05s0094g00510,746
vit_12s0028g01160,747
vit_05s0049g00520,748
vit_13s0156g00300,749
vit_06s0004g06530,750
vit_17s0000g02150,751
vit_03s0038g00020,752
vit_07s0005g06610,753
vit_18s0001g14800,754
vit_13s0019g04260,755
vit_00s0341g00010,756
vit_19s0014g00710,757
vit_06s0004g03000,758
vit_09s0002g05360<br>vit_09s0002g05400<br>vit_09s0002g05490<br>vit_09s0002g05590,759
vit_04s0023g03600,760
vit_00s0181g00200<br>vit_00s0181g00180,761
vit_07s0130g00060,762
vit_15s0021g02680,763
vit_05s0062g00520,764
vit_18s0001g00770,765
vit_11s0118g00730,766
vit_13s0064g01210,767
vit_07s0005g00660,768
vit_14s0108g00450,769
vit_05s0051g00750,770
vit_18s0086g00410,771
vit_15s0048g01070,772
vit_04s0023g03540,773
vit_14s0171g00320,774
vit_11s0016g05530,775
vit_04s0008g05530,776
vit_11s0037g00450,777
vit_04s0044g01120,778
vit_15s0048g01880,779
vit_11s0016g01460,780
vit_00s1751g00010,781
vit_15s0048g00720,782
vit_16s0050g01680,783
vit_14s0066g01610,784
vit_19s0090g01050,785
vit_13s0073g00110,786
vit_08s0007g05370,787
vit_01s0011g02780,788
vit_02s0025g04330,789
vit_01s0026g02620,790
vit_16s0013g00730,791
vit_14s0066g02540,792
vit_18s0041g00420,793
vit_01s0150g00020,794
vit_06s0004g04410,795
vit_15s0021g01420,796
vit_01s0010g03310,797
