"key,""rank"""
vit_17s0000g03910,873
vit_07s0104g00840,874
vit_18s0117g00600,875
vit_02s0109g00390,876
vit_12s0059g01210,877
vit_09s0002g02690,878
vit_18s0001g07410,879
vit_00s0670g00010,880
vit_01s0010g03850,881
vit_13s0019g05270,882
vit_04s0008g05520,883
vit_08s0040g00970,884
vit_05s0062g00920,885
vit_00s0264g00060,886
vit_03s0110g00100,887
vit_00s0299g00080,888
vit_12s0059g02290,889
vit_11s0016g02850,890
vit_01s0010g03600,891
vit_17s0000g00940,892
vit_01s0150g00510,893
vit_00s2776g00010,894
vit_14s0036g00460,895
vit_18s0001g12900,896
vit_14s0060g02330,897
vit_18s0001g01750,898
vit_16s0098g00290,899
vit_18s0001g14080,900
vit_02s0025g04310,901
vit_08s0007g00330,902
vit_08s0040g03400,903
vit_13s0019g03510,904
vit_01s0150g00550,905
vit_12s0028g03150,906
vit_02s0033g01030,907
vit_01s0010g00240,908
vit_03s0038g04730,909
vit_09s0002g05000,910
vit_14s0060g00900,911
vit_01s0244g00010,912
vit_13s0019g03980,913
vit_03s0091g00960,914
vit_18s0075g00960,915
vit_16s0100g00880,916
vit_04s0023g02920,917
vit_04s0008g01340,918
vit_18s0001g08590,919
vit_11s0118g00200,920
vit_19s0014g01470,921
vit_01s0137g00820,922
vit_06s0004g06900,923
vit_18s0001g06810,924
vit_18s0001g12410<br>vit_15s0046g00840,925
vit_16s0013g00510,926
vit_00s2839g00010,927
vit_02s0087g00090,928
vit_01s0137g00780,929
vit_16s0022g01710,930
vit_16s0098g01390,931
vit_06s0004g08360,932
vit_04s0008g06300,933
vit_14s0030g01670,934
vit_13s0156g00190,935
vit_00s0199g00220,936
vit_18s0001g10870,937
vit_09s0002g05730,938
vit_02s0025g02900,939
vit_14s0068g02010,940
vit_01s0010g03470,941
vit_18s0001g11160,942
vit_18s0001g08280,943
vit_00s0456g00040<br>vit_00s0374g00030,944
vit_06s0004g06580,945
vit_18s0001g10830,946
vit_07s0095g00660,947
vit_18s0001g02680,948
vit_18s0001g10360,949
vit_14s0068g01540,950
vit_08s0007g01500,951
vit_02s0087g00780,952
vit_18s0041g00710,953
vit_07s0129g00270,954
vit_07s0197g00250,955
vit_02s0025g04730,956
vit_18s0041g01800,957
vit_03s0180g00320,958
vit_14s0066g00700,959
vit_15s0046g00600,960
vit_15s0046g03190,961
vit_05s0020g01760,962
vit_00s0978g00020,963
vit_01s0011g03670,964
vit_18s0001g11100,965
vit_17s0000g05000,966
vit_03s0038g03230,967
vit_01s0137g00300,968
vit_04s0023g02840,969
vit_09s0002g04580,970
vit_08s0007g02920,971
vit_12s0034g00940,972
vit_15s0048g01870,973
vit_17s0000g05660,974
vit_17s0000g05400,975
vit_10s0042g01010,976
vit_13s0067g03070,977
vit_17s0000g02440,978
vit_09s0002g03620,979
vit_14s0030g00960,980
vit_08s0007g07240,981
vit_18s0122g00850,982
vit_03s0063g00260,983
vit_01s0026g02120,984
vit_02s0012g00400,985
vit_13s0019g03990,986
vit_08s0032g00790,987
vit_14s0083g01030,988
vit_18s0001g11560,989
vit_06s0004g05790,990
vit_00s2037g00010,991
vit_06s0004g06960,992
vit_19s0014g01900,993
vit_07s0005g06610,994.5
vit_08s0007g05160,994.5
vit_12s0134g00140,996
vit_09s0002g02980,997
vit_03s0038g03150<br>vit_03s0038g03170,998
vit_13s0019g02990<br>vit_13s0019g02890<br>vit_13s0019g02910,999
vit_01s0011g00100,1000
vit_00s0226g00100,1001
vit_16s0039g02550,1002
vit_14s0068g00510,1003
vit_17s0000g06130,1004
vit_13s0067g02870,1005
vit_02s0025g01470,1006
vit_01s0010g02670,1007
vit_04s0008g00860,1008
vit_07s0005g06620,1009
vit_13s0019g02700,1010
vit_12s0057g01230,1011
